sample_id,file_name,quality_score_lambda_0.3,quality_score_lambda_0.5,quality_score_lambda_0.7
image_01,1.png,60.631026558514954,59.91406897687721,59.19711139523947
image_02,2.png,63.7312156787864,60.80802190880708,57.88482813882773
image_03,3.png,46.803952179434866,44.82857484981589,42.853197520196915
image_04,4.png,63.75718287329183,61.69092343574171,59.624663998191586
image_05,5.jpg,66.41663364940018,64.65712191831642,62.89761018723266
image_06,6.jpg,59.04007324025724,57.78637243246192,56.532671624666605
image_07,7.jpg,58.379081848703684,55.67724670416663,52.97541155962957
image_08,8.jpg,58.077138390863446,56.432751393556636,54.78836439624983
