sample_id,file_name,content_type,topsis_score_100,grey_score_100,weighted_sum_100,Q_raw,fixed_grade,quantile_grade,kmeans_grade,rank
image_01,1.png,写实风景,58.12167502278284,61.70646293097158,61.09777867776229,59.91406897687721,中等,中等,较高,4
image_02,2.png,人物肖像,53.50003748385872,68.11600633375542,57.81458534607163,60.80802190880708,中等,较高,较高,3
image_03,3.png,艺术插画,39.89013152576844,49.767018173863335,32.898326223230036,44.82857484981589,较低,较低,较低,8
image_04,4.png,动态街景,56.525274841866405,66.85657202961701,64.29470577680053,61.69092343574171,中等,较高,较高,2
image_05,5.jpg,写实风景,60.25834259060701,69.05590124602583,65.25351641973003,64.65712191831642,中等,较高,较高,1
image_06,6.jpg,人物插画,54.65212041297364,60.92062445195021,56.27862549240131,57.78637243246192,中等,中等,中等,5
image_07,7.jpg,水墨插画,48.92265884282398,62.43183456550927,47.5554570619555,55.67724670416663,中等,较低,中等,7
image_08,8.jpg,像素街景,52.32178390028962,60.54371888682366,57.15541419354066,56.432751393556636,中等,较低,中等,6
