sample_id,file_name,content_type,semantic_proxy_score,sharpness_score,nss_score,noise_inverse_score,artifact_inverse_score,edge_continuity_score,shape_regularity_score,structure_integrity_score,brightness_balance_score,contrast_score,color_richness_score,composition_proxy_score
image_01,1.png,写实风景,0.8125,0.7912989600099529,0.7465336514615699,0.9611465036869048,0.9996394658753708,0.491671453410356,0.7202642338450559,0.6364444894105183,0.6685169362502666,0.9996753400025864,0.4002289335665288,0.7706189307165219
image_02,2.png,人物肖像,0.7625000000000001,0.5781267035756437,0.7988119037932596,1.0,1.0,0.2957041526239879,0.6036708305432523,0.4937385331061691,0.925370160185805,0.9551677330002944,0.4722688625866922,0.7982624906825828
image_03,3.png,艺术插画,0.625,0.6096561740092235,0.6459210637087963,1.0,0.9999878125,0.3618127249780237,0.5899652757879006,0.5259847533492832,0.5808962628833586,0.7048566196249378,0.3997605768601553,0.7836719643356541
image_04,4.png,动态街景,0.7625000000000001,0.6107302324833376,0.7807581737749014,1.0,0.9962988888888888,0.5142281983239863,0.7319002313004146,0.6518404118016502,0.8002637204625439,1.0,0.5558251678046006,0.7684654059312144
image_05,5.jpg,写实风景,0.9000000000000001,1.0,0.7203776090453051,0.7020754516124725,0.9993876677022222,0.5624107991327669,0.7197179902089541,0.6751494867410414,0.7712274145299145,0.8027256688018838,0.5637450267014797,0.7711652345134967
image_06,6.jpg,人物插画,0.7625000000000001,0.94286443012214,0.6835574534164766,0.8362341821193695,0.9654714154382796,0.6216311647493257,0.7763431986997449,0.7196208125377945,0.510072432545668,0.9653910211402296,0.3927595722149721,0.7688086084361152
image_07,7.jpg,水墨插画,0.625,1.0,0.6748376272922841,0.7099305987358093,0.9401471875,0.6432629628346007,0.7888314264340304,0.7314661356142396,0.4606337838319089,1.0,0.3432154223521863,0.7727827744055491
image_08,8.jpg,像素街景,0.525,0.8183970288440083,0.7736606299874433,0.9093297272920609,0.936787158716917,0.58847902628621,0.7578602541366448,0.6915396145059465,0.8530438556854367,1.0,0.4891655681988055,0.7755261502534985
