sample_id,file_name,content_type,megapixels,aspect_ratio,file_size_mb,proxy_prompt_token_count,sharpness_score,edge_density,color_richness_score,artifact_risk_score,Q_final
image_01,1.png,写实风景,4.19055,1.778501628664495,5.232068061828613,8,0.7912989600099529,0.0694238377843719,0.4002289335665288,0.000360534124629,57.67818232498608
image_02,2.png,人物肖像,4.191372,0.75,4.811139106750488,7,0.5781267035756437,0.0268576195773081,0.4722688625866922,0.0,58.200527700308136
image_03,3.png,艺术插画,4.194304,1.0,4.21656608581543,7,0.6096561740092235,0.0244854166666666,0.3997605768601553,1.21875e-05,42.410336740007736
image_04,4.png,动态街景,4.19328,0.5626373626373626,5.360358238220215,7,0.6107302324833376,0.0436975308641975,0.5558251678046006,0.0037011111111111,59.3413781906943
image_05,5.jpg,写实风景,4.194304,1.0,0.991196632385254,7,1.0,0.1736680555555555,0.5637450267014797,0.0006123322977777,62.22703934587288
image_06,6.jpg,人物插画,4.194304,1.0,0.4385261535644531,7,0.94286443012214,0.0665111111111111,0.3927595722149721,0.0345285845617204,55.22183896321834
image_07,7.jpg,水墨插画,4.194304,1.0,0.5195827484130859,7,1.0,0.0765659722222222,0.3432154223521863,0.0598528125,52.5004842483709
image_08,8.jpg,像素街景,4.194304,1.0,0.284881591796875,5,0.8183970288440083,0.0401451388888888,0.4891655681988055,0.0632128412830829,53.41153482967204
