feature,spearman_rho,kendall_tau,importance_proxy
color_richness_score,0.7619047619047621,0.6428571428571428,0.7619047619047621
file_size_mb,0.4523809523809524,0.2857142857142857,0.4523809523809524
megapixels,-0.4364357804719848,-0.2672612419124244,0.4364357804719848
edge_density,0.38095238095238104,0.2857142857142857,0.38095238095238104
aspect_ratio,-0.3546040716334876,-0.2672612419124244,0.3546040716334876
artifact_risk_score,-0.2380952380952381,-0.21428571428571427,0.2380952380952381
proxy_prompt_token_count,0.21821789023599242,0.15724272550828775,0.21821789023599242
sharpness_score,0.02395252523826518,-0.036369648372665396,0.02395252523826518
