sample_id,file_name,content_type,topsis_score_100,grey_score_100,weighted_sum_100,quality_score_lambda_0.3,quality_score_lambda_0.5,quality_score_lambda_0.7,Q_raw,fixed_grade,kmeans_grade,quantile_grade,rank
image_01,1.png,写实风景,58.12167502278284,61.70646293097158,61.09777867776229,60.631026558514954,59.91406897687721,59.19711139523947,59.91406897687721,中等,较高,中等,4
image_02,2.png,人物肖像,53.50003748385872,68.11600633375542,57.81458534607163,63.7312156787864,60.80802190880708,57.88482813882773,60.80802190880708,中等,较高,较高,3
image_03,3.png,艺术插画,39.89013152576844,49.767018173863335,32.898326223230036,46.803952179434866,44.82857484981589,42.853197520196915,44.82857484981589,较低,较低,较低,8
image_04,4.png,动态街景,56.525274841866405,66.85657202961701,64.29470577680053,63.75718287329183,61.69092343574171,59.624663998191586,61.69092343574171,中等,较高,较高,2
image_05,5.jpg,写实风景,60.25834259060701,69.05590124602583,65.25351641973003,66.41663364940018,64.65712191831642,62.89761018723266,64.65712191831642,中等,较高,较高,1
image_06,6.jpg,人物插画,54.65212041297364,60.92062445195021,56.27862549240131,59.04007324025724,57.78637243246192,56.532671624666605,57.78637243246192,中等,中等,中等,5
image_07,7.jpg,水墨插画,48.92265884282398,62.43183456550927,47.5554570619555,58.379081848703684,55.67724670416663,52.97541155962957,55.67724670416663,中等,中等,较低,7
image_08,8.jpg,像素街景,52.32178390028962,60.54371888682366,57.15541419354066,58.077138390863446,56.432751393556636,54.78836439624983,56.432751393556636,中等,中等,较低,6
